PA0_Kills, PA0_A_Kills, PA0_Assists, PA0_A_Assists, PA0_Deaths, PA0_A_Deaths, PA0_HSPercent, PA0_A_HSPercent, PA0_KillPerRound, PA0_A_KillDeathRating, PA0_KillPerRound, PA0_A_KillDeathRating, PA1_Kills, PA1_A_Kills, PA1_Assists, PA1_A_Assists, PA1_Deaths, PA1_A_Deaths, PA1_HSPercent, PA1_A_HSPercent, PA1_KillPerRound, PA1_A_KillDeathRating, PA1_KillPerRound, PA1_A_KillDeathRating, PA2_Kills, PA2_A_Kills, PA2_Assists, PA2_A_Assists, PA2_Deaths, PA2_A_Deaths, PA2_HSPercent, PA2_A_HSPercent, PA2_KillPerRound, PA2_A_KillDeathRating, PA2_KillPerRound, PA2_A_KillDeathRating, PA3_Kills, PA3_A_Kills, PA3_Assists, PA3_A_Assists, PA3_Deaths, PA3_A_Deaths, PA3_HSPercent, PA3_A_HSPercent, PA3_KillPerRound, PA3_A_KillDeathRating, PA3_KillPerRound, PA3_A_KillDeathRating, PA4_Kills, PA4_A_Kills, PA4_Assists, PA4_A_Assists, PA4_Deaths, PA4_A_Deaths, PA4_HSPercent, PA4_A_HSPercent, PA4_KillPerRound, PA4_A_KillDeathRating, PA4_KillPerRound, PA4_A_KillDeathRating, PB0_Kills, PB0_A_Kills, PB0_Assists, PB0_A_Assists, PB0_Deaths, PB0_A_Deaths, PB0_HSPercent, PB0_A_HSPercent, PB0_KillPerRound, PB0_A_KillDeathRating, PB0_KillPerRound, PB0_A_KillDeathRating, PB1_Kills, PB1_A_Kills, PB1_Assists, PB1_A_Assists, PB1_Deaths, PB1_A_Deaths, PB1_HSPercent, PB1_A_HSPercent, PB1_KillPerRound, PB1_A_KillDeathRating, PB1_KillPerRound, PB1_A_KillDeathRating, PB2_Kills, PB2_A_Kills, PB2_Assists, PB2_A_Assists, PB2_Deaths, PB2_A_Deaths, PB2_HSPercent, PB2_A_HSPercent, PB2_KillPerRound, PB2_A_KillDeathRating, PB2_KillPerRound, PB2_A_KillDeathRating, PB3_Kills, PB3_A_Kills, PB3_Assists, PB3_A_Assists, PB3_Deaths, PB3_A_Deaths, PB3_HSPercent, PB3_A_HSPercent, PB3_KillPerRound, PB3_A_KillDeathRating, PB3_KillPerRound, PB3_A_KillDeathRating, PB4_Kills, PB4_A_Kills, PB4_Assists, PB4_A_Assists, PB4_Deaths, PB4_A_Deaths, PB4_HSPercent, PB4_A_HSPercent, PB4_KillPerRound, PB4_A_KillDeathRating, PB4_KillPerRound, PB4_A_KillDeathRating
20, 19, 4, 3, 20, 19, 39, 46, 0.681500, 1.038000, 0.706600, 1.050250, 25, 20, 3, 3, 29, 20, 58, 44, 0.862000, 1.232000, 0.710000, 1.040100, 21, 21, 3, 4, 23, 21, 38, 44, 0.646000, 0.872500, 0.712250, 1.037700, 15, 19, 3, 3, 17, 19, 43, 46, 0.546000, 0.730500, 0.711350, 1.038650, 22, 19, 4, 3, 26, 20, 67, 46, 0.773000, 0.970500, 0.713750, 1.037650, 33, 19, 5, 3, 28, 19, 86, 45, 1.194000, 1.830500, 0.708850, 1.035400, 22, 19, 7, 3, 29, 19, 69, 45, 0.811000, 1.160500, 0.707450, 1.038700, 28, 19, 3, 3, 22, 19, 45, 45, 1.046000, 1.479000, 0.708400, 1.037350, 23, 18, 4, 3, 25, 18, 49, 44, 0.886000, 1.288000, 0.703600, 1.063150, 30, 19, 5, 3, 29, 19, 67, 43, 1.100000, 1.700500, 0.705400, 1.036100 
20, 18, 5, 3, 25, 18, 47, 45, 0.720000, 0.920500, 0.711800, 1.086550, 21, 19, 4, 3, 23, 19, 52, 47, 0.747000, 1.045000, 0.709850, 1.041800, 15, 19, 2, 3, 17, 19, 28, 47, 0.577500, 0.759000, 0.706600, 1.045150, 20, 18, 3, 3, 19, 18, 44, 47, 0.784000, 1.162500, 0.716600, 1.052950, 19, 19, 4, 3, 22, 19, 44, 46, 0.695500, 1.080000, 0.716600, 1.054750, 20, 18, 2, 3, 21, 19, 49, 47, 0.810500, 1.175000, 0.722000, 1.081950, 20, 21, 3, 4, 23, 21, 40, 44, 0.639000, 0.859000, 0.712250, 1.037700, 10, 19, 0, 3, 10, 19, 31, 49, 0.392500, 0.588500, 0.704100, 1.058000, 15, 19, 3, 3, 17, 19, 43, 46, 0.543500, 0.727000, 0.711350, 1.038650, 9, 18, 0, 3, 9, 17, 23, 45, 0.331000, 0.440000, 0.701000, 1.054600 
26, 18, 3, 3, 20, 18, 63, 46, 1.006500, 1.443500, 0.705950, 1.079050, 1, 17, 0, 2, 1, 17, 2, 49, 0.038000, 0.052500, 0.702900, 1.083000, 28, 18, 4, 3, 29, 18, 99, 51, 1.086500, 1.541000, 0.706550, 1.078950, 24, 18, 5, 3, 21, 18, 61, 42, 0.940500, 1.589500, 0.679550, 1.025050, 10, 19, 2, 3, 14, 19, 31, 43, 0.394500, 0.578000, 0.686200, 1.023800, 18, 20, 2, 3, 15, 20, 36, 49, 0.648000, 0.886500, 0.704050, 1.054300, 15, 19, 2, 3, 17, 19, 28, 47, 0.569000, 0.744500, 0.706600, 1.045150, 19, 18, 2, 3, 19, 18, 49, 48, 0.782000, 1.107500, 0.705050, 1.066850, 21, 22, 5, 4, 23, 22, 49, 47, 0.661000, 1.040000, 0.715200, 1.037450, 0, 17, 0, 3, 1, 17, 2, 45, 0.026000, 0.035500, 0.697550, 1.072100 
31, 20, 4, 3, 27, 20, 61, 46, 1.106000, 1.651000, 0.715350, 1.041900, 23, 20, 5, 3, 28, 20, 67, 46, 0.824500, 1.176500, 0.715150, 1.031200, 16, 19, 2, 3, 21, 19, 39, 42, 0.611000, 0.776500, 0.719950, 1.147100, 23, 18, 4, 3, 26, 18, 55, 43, 0.850500, 1.167500, 0.697000, 1.108750, 25, 18, 3, 3, 22, 18, 55, 42, 0.959000, 1.357000, 0.699200, 1.017950, 26, 19, 4, 3, 22, 19, 50, 48, 0.943500, 1.365500, 0.718950, 1.040850, 15, 19, 2, 3, 18, 19, 35, 45, 0.541500, 0.747500, 0.716400, 1.040650, 24, 18, 5, 3, 21, 18, 60, 42, 0.940000, 1.571000, 0.679550, 1.025050, 16, 20, 2, 3, 15, 20, 35, 43, 0.589500, 0.977000, 0.704750, 1.041000, 11, 19, 2, 3, 14, 19, 32, 43, 0.393000, 0.572000, 0.686200, 1.023800 
35, 20, 4, 3, 24, 21, 49, 49, 1.224000, 1.909500, 0.728251, 1.043051, 24, 18, 3, 3, 26, 18, 68, 49, 0.930000, 1.230500, 0.710650, 1.047450, 25, 20, 2, 3, 23, 20, 54, 51, 0.872000, 1.176500, 0.712150, 1.037450, 23, 18, 5, 3, 21, 18, 60, 42, 0.912000, 1.538000, 0.679550, 1.025050, 11, 19, 2, 3, 14, 19, 31, 43, 0.411000, 0.597500, 0.686200, 1.023800, 27, 17, 3, 3, 24, 17, 65, 49, 1.103000, 1.466500, 0.706500, 1.077450, 30, 17, 3, 3, 24, 17, 61, 46, 1.175000, 2.094000, 0.691900, 1.082100, 17, 19, 3, 3, 15, 19, 40, 49, 0.624000, 0.874000, 0.717500, 1.104000, 9, 19, 2, 3, 11, 19, 27, 51, 0.334000, 0.484500, 0.717150, 1.050250, 19, 19, 3, 3, 22, 19, 55, 46, 0.682000, 0.911000, 0.702900, 1.032850 
19, 18, 3, 3, 15, 18, 30, 45, 0.712500, 1.221500, 0.683600, 1.026200, 22, 20, 6, 3, 19, 20, 47, 48, 0.772000, 1.121500, 0.706500, 1.033800, 30, 18, 6, 3, 25, 18, 73, 45, 1.206000, 1.925500, 0.710050, 1.042450, 24, 18, 5, 3, 21, 18, 61, 42, 0.929000, 1.571500, 0.679550, 1.025050, 10, 19, 2, 3, 13, 19, 31, 43, 0.396500, 0.584000, 0.686200, 1.023800, 17, 18, 3, 3, 19, 18, 34, 47, 0.689000, 1.041500, 0.714600, 1.050550, 17, 19, 3, 3, 21, 19, 43, 47, 0.651500, 0.901000, 0.715600, 1.050300, 19, 16, 4, 3, 20, 16, 34, 42, 0.830500, 1.117000, 0.716450, 1.156050, 19, 16, 3, 3, 18, 16, 47, 43, 0.805500, 1.224500, 0.716650, 1.160200, 14, 19, 3, 3, 16, 19, 35, 47, 0.505000, 0.673000, 0.706050, 1.043900 
31, 20, 4, 3, 31, 20, 42, 46, 1.076500, 1.500500, 0.700150, 1.026350, 13, 19, 2, 3, 16, 19, 35, 47, 0.472500, 0.624000, 0.706050, 1.043900, 21, 19, 5, 3, 24, 19, 40, 44, 0.754000, 1.007500, 0.704400, 1.043000, 26, 20, 3, 4, 23, 20, 52, 43, 0.929500, 1.355500, 0.722400, 1.051800, 18, 19, 1, 3, 16, 19, 59, 47, 0.719500, 1.132000, 0.692300, 1.011100, 23, 19, 3, 3, 23, 19, 48, 45, 0.906500, 1.375500, 0.719000, 1.061150, 22, 18, 3, 3, 20, 18, 61, 45, 0.829500, 1.311000, 0.698500, 1.021300, 24, 18, 5, 3, 21, 18, 60, 42, 0.929500, 1.572500, 0.679550, 1.025050, 11, 19, 2, 3, 13, 19, 31, 43, 0.409500, 0.613500, 0.686200, 1.023800, 16, 20, 2, 3, 15, 20, 35, 43, 0.595500, 0.985000, 0.704750, 1.041000 
26, 20, 3, 4, 23, 20, 53, 43, 0.931000, 1.369000, 0.722400, 1.051800, 24, 21, 4, 4, 20, 21, 36, 40, 0.771500, 1.178500, 0.714150, 1.056300, 29, 19, 4, 3, 28, 19, 58, 43, 0.999500, 1.401000, 0.711050, 1.060850, 18, 18, 4, 3, 24, 18, 44, 44, 0.680000, 0.885500, 0.707250, 1.051300, 28, 18, 7, 3, 24, 18, 66, 44, 1.077000, 1.470500, 0.711200, 1.061400, 16, 19, 1, 3, 13, 19, 27, 45, 0.578000, 0.789000, 0.713750, 1.027300, 31, 19, 2, 3, 28, 19, 70, 44, 1.202000, 1.627000, 0.720500, 1.043350, 24, 19, 1, 3, 17, 19, 36, 44, 0.880500, 1.368500, 0.695700, 1.037300, 18, 18, 2, 3, 15, 18, 52, 46, 0.710000, 1.413500, 0.700800, 1.070100, 28, 20, 4, 4, 24, 20, 75, 40, 0.995000, 1.512500, 0.704650, 1.024100 
28, 19, 5, 3, 28, 19, 81, 47, 1.084000, 1.642000, 0.717600, 1.037200, 17, 18, 3, 3, 17, 18, 39, 42, 0.586000, 0.908000, 0.681350, 1.029650, 19, 20, 3, 3, 23, 20, 51, 43, 0.681000, 0.995500, 0.709800, 1.059100, 15, 18, 2, 3, 13, 18, 30, 44, 0.626000, 0.885000, 0.716450, 1.073900, 24, 19, 4, 3, 27, 19, 44, 41, 0.879000, 1.135000, 0.710900, 1.062650, 18, 19, 3, 3, 20, 19, 34, 42, 0.634000, 0.885000, 0.710850, 1.026900, 20, 19, 3, 3, 19, 19, 49, 44, 0.737500, 1.022500, 0.711700, 1.042550, 29, 19, 4, 3, 28, 19, 58, 43, 1.013000, 1.430000, 0.711050, 1.060850, 26, 20, 3, 4, 22, 20, 52, 43, 0.941500, 1.389000, 0.722400, 1.051800, 23, 21, 5, 4, 20, 21, 36, 40, 0.768500, 1.182500, 0.714150, 1.056300 
23, 18, 4, 3, 22, 18, 62, 45, 0.847500, 1.334500, 0.698050, 1.072300, 30, 19, 4, 3, 29, 19, 60, 43, 1.024500, 1.425500, 0.711050, 1.060850, 26, 20, 3, 4, 23, 20, 52, 43, 0.930500, 1.362500, 0.722400, 1.051800, 23, 21, 4, 4, 20, 21, 36, 40, 0.751000, 1.150500, 0.714150, 1.056300, 23, 18, 3, 3, 20, 18, 59, 47, 0.859500, 1.259500, 0.713900, 1.055850, 33, 19, 6, 3, 26, 19, 64, 47, 1.195500, 1.977500, 0.708950, 1.041700, 25, 20, 4, 3, 25, 20, 60, 46, 0.888500, 1.397500, 0.706100, 1.024900, 19, 18, 3, 3, 22, 18, 36, 42, 0.701500, 1.046000, 0.697000, 1.075700, 19, 17, 4, 3, 24, 17, 50, 44, 0.779500, 1.180500, 0.708250, 1.104300, 15, 16, 3, 3, 17, 16, 44, 45, 0.633500, 0.922500, 0.693800, 1.101100 
