TeamA_KD, TeamA_KR, TeamA_MVP, TeamA_T_KD, TeamA_T_KR, TeamA_T_MVP, TeamA_E_KD, TeamA_E_KR, TeamA_E_MVP, TeamB_KD, TeamB_KR, TeamB_MVP, TeamB_T_KD, TeamB_T_KR, TeamB_T_MVP, TeamB_E_KD, TeamB_E_KR, TeamB_E_MVP, TeamA_Wins
1.176600, 0.791300, 3.810000, 1.027464, 0.697356, 3.597200, 1.049492, 0.709244, 3.666000, 1.167000, 0.725700, 3.140000, 1.008104, 0.683604, 3.516399, 1.069596, 0.702928, 3.438400, 1
1.294700, 0.859300, 5.360000, 1.011760, 0.695008, 3.572000, 1.074088, 0.711856, 3.646400, 1.267400, 0.874600, 4.160000, 0.991300, 0.687844, 3.635601, 1.088912, 0.718752, 3.726401, 0
0.931100, 0.649100, 3.640000, 1.053052, 0.698700, 3.741601, 1.038764, 0.702000, 3.582800, 1.136500, 0.739800, 3.820000, 1.026260, 0.695748, 3.729599, 1.008352, 0.687640, 3.518800, 0
1.035900, 0.702000, 3.930000, 1.000912, 0.691140, 3.559200, 1.046984, 0.712084, 3.609601, 0.893700, 0.642000, 3.720000, 1.055588, 0.715360, 3.587600, 1.030648, 0.707932, 3.433600, 1
0.930100, 0.626000, 2.800000, 1.060776, 0.697612, 3.866000, 1.016432, 0.682044, 3.673600, 1.251700, 0.834800, 4.280000, 1.036328, 0.699276, 3.710001, 1.050868, 0.706624, 3.550400, 1
1.147400, 0.758800, 3.250000, 1.019448, 0.701384, 3.615600, 1.071968, 0.711764, 3.752000, 1.175000, 0.810400, 4.630000, 1.064284, 0.706400, 3.520799, 1.012708, 0.690264, 3.406399, 0
1.144200, 0.807700, 4.820000, 1.142884, 0.707760, 3.772799, 0.997528, 0.677728, 3.592000, 0.863150, 0.612150, 3.510000, 1.077728, 0.687314, 3.272001, 1.022814, 0.668482, 3.383600, 1
1.025500, 0.717600, 4.040000, 1.015132, 0.696660, 3.673200, 1.060188, 0.710552, 3.588399, 1.125800, 0.768000, 3.440000, 1.038628, 0.702308, 3.696800, 0.998224, 0.690392, 3.595599, 0
1.203247, 0.852382, 3.920000, 0.992224, 0.682011, 3.525976, 1.052382, 0.701963, 3.731059, 1.422100, 0.948200, 4.050000, 0.985032, 0.690928, 3.413601, 1.070612, 0.715736, 3.590400, 0
1.148100, 0.736600, 3.880000, 0.996584, 0.679764, 3.407200, 1.097608, 0.705176, 3.428001, 1.138100, 0.768000, 3.550000, 1.011664, 0.686448, 3.444800, 1.046388, 0.701464, 3.466799, 1
1.173600, 0.783200, 4.120000, 1.081772, 0.706284, 3.568400, 0.971336, 0.674952, 3.546400, 0.938900, 0.657300, 3.980000, 1.042504, 0.701748, 3.732000, 1.014196, 0.693536, 3.639600, 1
1.037200, 0.730800, 4.020000, 1.066612, 0.705468, 3.718400, 1.014808, 0.688468, 3.730000, 0.992100, 0.686600, 3.260000, 1.121892, 0.731616, 3.669600, 1.000012, 0.686908, 3.343198, 0
0.972200, 0.667300, 2.770000, 1.062284, 0.707860, 3.443200, 1.036176, 0.704712, 3.443200, 1.338900, 0.844100, 3.960000, 0.945392, 0.659060, 3.128800, 1.157016, 0.719812, 3.175199, 0
1.111800, 0.780600, 4.100000, 1.007756, 0.685924, 3.578000, 1.049456, 0.703032, 3.498800, 0.977900, 0.702400, 3.780000, 1.091000, 0.707368, 3.528800, 1.004220, 0.689512, 3.519201, 1
1.148200, 0.822400, 4.250000, 0.988840, 0.673576, 3.157600, 0.997700, 0.678680, 3.430799, 0.914000, 0.640600, 3.040000, 1.048124, 0.702276, 3.378400, 1.052064, 0.706700, 3.617200, 0
1.162500, 0.780900, 4.010000, 1.039348, 0.705188, 3.946800, 1.033564, 0.706144, 3.915200, 0.853900, 0.598800, 3.600000, 1.041244, 0.719272, 3.812801, 1.029664, 0.715940, 3.677200, 1
1.530400, 1.015400, 4.430000, 1.080236, 0.708036, 3.410400, 1.024256, 0.693788, 3.443200, 1.004700, 0.672000, 4.060000, 1.058384, 0.711744, 3.805199, 1.003944, 0.695740, 3.734400, 1
0.978600, 0.639800, 2.980000, 1.058428, 0.701676, 3.365599, 1.073748, 0.706520, 3.530400, 1.096700, 0.755100, 3.500000, 1.011404, 0.705652, 3.644001, 1.045440, 0.716580, 3.798400, 0
