A0_KR, A0_KD, A0_MVP, A0_T_KR, A0_T_KD, A0_T_MVP, A0_E_KR, A0_E_KD, A0_E_MVP, A1_KR, A1_KD, A1_MVP, A1_T_KR, A1_T_KD, A1_T_MVP, A1_E_KR, A1_E_KD, A1_E_MVP, A2_KR, A2_KD, A2_MVP, A2_T_KR, A2_T_KD, A2_T_MVP, A2_E_KR, A2_E_KD, A2_E_MVP, A3_KR, A3_KD, A3_MVP, A3_T_KR, A3_T_KD, A3_T_MVP, A3_E_KR, A3_E_KD, A3_E_MVP, A4_KR, A4_KD, A4_MVP, A4_T_KR, A4_T_KD, A4_T_MVP, A4_E_KR, A4_E_KD, A4_E_MVP, B0_KR, B0_KD, B0_MVP, B0_T_KR, B0_T_KD, B0_T_MVP, B0_E_KR, B0_E_KD, B0_E_MVP, B1_KR, B1_KD, B1_MVP, B1_T_KR, B1_T_KD, B1_T_MVP, B1_E_KR, B1_E_KD, B1_E_MVP, B2_KR, B2_KD, B2_MVP, B2_T_KR, B2_T_KD, B2_T_MVP, B2_E_KR, B2_E_KD, B2_E_MVP, B3_KR, B3_KD, B3_MVP, B3_T_KR, B3_T_KD, B3_T_MVP, B3_E_KR, B3_E_KD, B3_E_MVP, B4_KR, B4_KD, B4_MVP, B4_T_KR, B4_T_KD, B4_T_MVP, B4_E_KR, B4_E_KD, B4_E_MVP
0.815500, 0.553000, 3.200000, 1.024899, 0.709040, 3.688001, 1.036439, 0.717240, 3.458002, 1.251000, 0.871500, 4.000000, 1.040681, 0.706540, 3.642001, 1.020660, 0.702240, 3.644001, 1.333500, 0.904000, 4.450000, 0.966360, 0.692400, 3.838000, 1.062040, 0.718700, 4.038002, 1.097500, 0.757500, 4.150000, 0.943401, 0.671200, 3.608002, 1.131520, 0.738800, 3.696002, 1.247000, 0.927000, 4.600000, 1.030720, 0.707400, 3.549999, 1.055980, 0.717500, 3.679999, 1.034500, 0.679500, 3.100000, 1.066660, 0.699800, 3.086001, 1.103140, 0.715700, 3.344002, 1.486000, 0.890500, 2.350000, 0.971759, 0.685820, 3.817999, 1.090240, 0.727480, 3.871999, 1.012000, 0.687500, 2.800000, 1.052760, 0.706120, 3.736000, 1.054040, 0.706280, 3.913999, 0.596500, 0.478000, 4.300000, 1.009219, 0.698300, 3.851999, 1.084380, 0.716400, 3.878001, 1.090000, 0.813500, 4.350000, 0.983580, 0.671640, 3.604002, 1.136920, 0.721960, 3.505998
1.394000, 0.912500, 4.350000, 1.056200, 0.700400, 3.555999, 1.050540, 0.702660, 3.729998, 1.721000, 1.057500, 4.000000, 1.043240, 0.707500, 3.775998, 1.074960, 0.721700, 3.684000, 1.052000, 0.702500, 5.950000, 1.025760, 0.705620, 3.771998, 1.074240, 0.724380, 3.998001, 1.902000, 1.359000, 3.350000, 0.995400, 0.690780, 3.152001, 1.078480, 0.723200, 3.580000, 1.118000, 0.842000, 3.800000, 1.226720, 0.704260, 3.464001, 0.979340, 0.664960, 3.650000, 0.863500, 0.560500, 1.850000, 1.068340, 0.705720, 3.409999, 1.043060, 0.706580, 3.690002, 1.476000, 1.090500, 6.600000, 1.079280, 0.715800, 3.470000, 1.029920, 0.706100, 3.829999, 0.939000, 0.680500, 3.950000, 1.185900, 0.749800, 3.524000, 0.980400, 0.679300, 3.366001, 0.799000, 0.573000, 2.550000, 0.997540, 0.717600, 3.912001, 1.066460, 0.744400, 3.917999, 1.327500, 0.908000, 4.600000, 0.966360, 0.692400, 3.838000, 1.062040, 0.718700, 4.038002
0.854000, 0.577000, 3.300000, 1.002260, 0.683300, 3.996001, 1.054640, 0.706100, 4.164001, 1.197000, 0.880500, 3.850000, 1.083860, 0.707560, 4.080000, 0.987159, 0.682420, 3.636001, 0.788500, 0.513000, 2.500000, 1.065400, 0.696339, 3.838000, 1.002820, 0.684940, 3.727999, 1.314000, 0.900000, 4.550000, 0.966360, 0.692400, 3.838000, 1.062040, 0.718700, 4.038002, 1.395500, 0.908000, 4.650000, 1.100900, 0.728100, 3.454000, 1.011800, 0.709900, 3.796000, 1.458000, 0.835500, 3.450000, 0.960819, 0.640240, 3.077999, 1.001880, 0.653660, 3.236000, 0.463500, 0.348500, 2.300000, 1.016200, 0.712440, 4.110000, 1.033500, 0.720460, 4.610001, 1.132000, 0.809000, 3.500000, 0.927279, 0.658680, 3.280000, 1.105660, 0.715920, 3.474000, 0.429000, 0.304500, 1.550000, 0.973140, 0.683360, 3.666000, 1.100960, 0.733140, 3.974001, 0.919000, 0.620500, 2.300000, 0.997900, 0.699720, 3.720001, 1.049900, 0.723180, 4.089998
1.067000, 0.843000, 4.950000, 1.044680, 0.716860, 3.720001, 1.007120, 0.709040, 3.859999, 0.894500, 0.674000, 4.550000, 1.026620, 0.714520, 3.764000, 1.059280, 0.722080, 3.846000, 1.338000, 0.902000, 3.100000, 1.057860, 0.723600, 3.922000, 1.032740, 0.712200, 3.908000, 1.345000, 0.916500, 4.500000, 0.966360, 0.692400, 3.838000, 1.062040, 0.718700, 4.038002, 1.403500, 0.910000, 4.600000, 1.100900, 0.728100, 3.454000, 1.011800, 0.709900, 3.796000, 0.993500, 0.737500, 3.150000, 1.012700, 0.696300, 4.076000, 1.022281, 0.695200, 4.034000, 1.692000, 1.070500, 4.050000, 1.001460, 0.681000, 3.637999, 1.057200, 0.694380, 3.660001, 0.844500, 0.589500, 3.300000, 1.072960, 0.730240, 3.730001, 0.992240, 0.700060, 3.445998, 0.752500, 0.518000, 3.850000, 1.067180, 0.687660, 3.882000, 0.992980, 0.661580, 3.471999, 1.813500, 1.153500, 4.300000, 0.918080, 0.660880, 3.627998, 1.190020, 0.747620, 3.911999
1.420500, 0.923000, 4.600000, 1.100900, 0.728100, 3.454000, 1.011800, 0.709900, 3.796000, 1.360000, 0.794000, 2.950000, 0.978060, 0.673880, 3.235999, 1.079740, 0.710340, 3.840001, 0.924000, 0.707000, 3.200000, 1.057780, 0.722760, 3.906001, 1.000240, 0.697340, 3.564002, 0.942000, 0.683500, 3.150000, 1.092180, 0.727960, 3.664000, 1.029420, 0.708440, 3.506001, 1.825000, 1.017500, 5.700000, 1.045740, 0.711460, 3.509999, 1.037241, 0.715420, 3.746001, 1.327500, 0.993500, 6.000000, 1.055880, 0.715440, 3.838000, 0.959720, 0.675600, 3.789999, 1.153000, 0.669000, 3.800000, 1.020219, 0.698600, 3.510000, 1.080480, 0.716800, 3.840000, 2.905501, 0.852500, 4.700000, 1.020620, 0.682920, 3.716000, 1.205480, 0.717140, 3.560000, 0.635500, 0.482000, 2.850000, 1.050660, 0.699020, 3.653999, 0.966520, 0.676140, 3.377999, 1.290000, 0.924000, 4.550000, 1.021240, 0.698160, 3.842000, 1.033200, 0.706240, 3.669999
1.360000, 0.926500, 4.600000, 0.966360, 0.692400, 3.838000, 1.062040, 0.718700, 4.038002, 1.419500, 0.919500, 4.700000, 1.100900, 0.728100, 3.454000, 1.011800, 0.709900, 3.796000, 0.689000, 0.456000, 2.200000, 1.050920, 0.698040, 3.862001, 1.038881, 0.691160, 3.808000, 0.551500, 0.322500, 3.000000, 0.987480, 0.687220, 3.586000, 1.108321, 0.720380, 4.074000, 1.202000, 0.780500, 3.500000, 0.935400, 0.664240, 4.046000, 1.183600, 0.744660, 4.093997, 1.148500, 0.824500, 3.750000, 0.949340, 0.666780, 3.722003, 1.082900, 0.700080, 3.499999, 1.740000, 1.249000, 5.950000, 1.056380, 0.700780, 3.690001, 0.973340, 0.679500, 3.452001, 1.541000, 0.925500, 4.750000, 1.006980, 0.673560, 3.398002, 1.000200, 0.678520, 3.723998, 1.844000, 1.098000, 6.350000, 0.985880, 0.672080, 3.482002, 1.035260, 0.685760, 3.631999, 1.078000, 0.693500, 4.500000, 0.965500, 0.686400, 3.638000, 1.111460, 0.724500, 3.674001
1.335000, 0.921500, 5.500000, 1.027060, 0.708560, 3.912000, 1.014140, 0.706840, 3.898000, 1.340500, 0.913000, 4.700000, 0.966360, 0.692400, 3.838000, 1.062040, 0.718700, 4.038002, 1.411500, 0.915000, 4.750000, 1.100900, 0.728100, 3.454000, 1.011800, 0.709900, 3.796000, 1.361500, 0.898500, 5.800000, 1.084340, 0.703320, 3.790002, 1.048080, 0.673340, 3.443998, 1.406000, 0.815000, 3.500000, 1.123360, 0.735140, 4.076000, 0.968320, 0.677420, 3.542000, 0.040000, 0.033500, 0.100000, 1.066920, 0.698280, 3.384000, 1.073540, 0.704980, 3.466001, 1.201500, 0.792000, 4.650000, 1.010040, 0.718100, 4.163999, 1.025060, 0.722400, 4.456001, 1.267500, 0.792000, 3.550000, 1.089640, 0.724540, 3.838001, 1.031880, 0.696920, 3.644001, 1.411500, 0.960000, 2.300000, 1.193940, 0.742140, 3.354000, 0.975460, 0.678760, 3.196001, 1.096000, 0.879000, 4.500000, 1.014720, 0.714880, 3.746000, 1.058580, 0.728120, 3.774000
1.103500, 0.763500, 3.400000, 1.074120, 0.735520, 4.016000, 1.004179, 0.713380, 4.013999, 1.083000, 0.742000, 4.750000, 1.064000, 0.724140, 3.795999, 1.017000, 0.710160, 3.824000, 0.254500, 0.215000, 1.450000, 1.086000, 0.731820, 3.828000, 1.014000, 0.703380, 3.661999, 1.342500, 0.913500, 4.750000, 0.966360, 0.692400, 3.838000, 1.062040, 0.718700, 4.038002, 1.446000, 0.928000, 4.800000, 1.100900, 0.728100, 3.454000, 1.011800, 0.709900, 3.796000, 1.051000, 0.791000, 4.850000, 0.934980, 0.660980, 3.630001, 1.105040, 0.721500, 4.120000, 1.584000, 0.977000, 2.900000, 1.057220, 0.710080, 3.933999, 1.079580, 0.712920, 4.016000, 0.714500, 0.508500, 4.050000, 1.110900, 0.739620, 4.311999, 0.954700, 0.687080, 4.167998, 0.744500, 0.545000, 4.550000, 1.038561, 0.712340, 4.260001, 1.026740, 0.707860, 4.240000, 0.838500, 0.594500, 2.650000, 1.076540, 0.721860, 4.082000, 1.038960, 0.702440, 3.957998
1.242500, 0.891000, 3.650000, 1.124100, 0.733720, 4.257998, 0.914100, 0.660980, 3.730000, 0.549000, 0.452500, 4.250000, 1.119160, 0.735420, 3.942000, 0.967480, 0.683500, 3.803998, 0.826000, 0.645500, 4.400000, 1.037700, 0.709320, 3.893999, 1.038640, 0.706420, 3.943999, 0.391500, 0.294500, 3.700000, 1.078680, 0.714640, 3.943999, 1.055021, 0.701360, 4.005998, 0.709500, 0.492000, 2.400000, 0.956660, 0.686040, 3.656001, 1.107820, 0.732480, 3.839998, 0.539000, 0.406000, 2.050000, 1.074440, 0.728200, 3.794000, 1.025560, 0.707000, 3.695999, 0.991000, 0.609000, 2.700000, 1.097340, 0.725160, 3.447997, 1.018660, 0.693940, 3.582000, 1.067500, 0.722000, 3.050000, 1.145000, 0.740660, 3.607998, 0.992200, 0.686840, 3.332001, 1.112000, 0.754000, 3.350000, 1.074120, 0.735520, 4.016000, 1.004179, 0.713380, 4.013999, 1.324500, 0.790000, 3.650000, 0.992160, 0.695520, 3.874001, 1.085920, 0.723440, 4.274002
1.129000, 0.844500, 3.700000, 1.093240, 0.726320, 3.451998, 1.012360, 0.695780, 3.547999, 0.681000, 0.521000, 3.350000, 1.096480, 0.714140, 3.466001, 1.075120, 0.715460, 3.664000, 1.331000, 0.917500, 5.750000, 1.056340, 0.716820, 4.048000, 1.048860, 0.712480, 3.932002, 1.538500, 0.986500, 5.650000, 1.026580, 0.711360, 3.768002, 1.016160, 0.707160, 3.682001, 1.214500, 0.872500, 4.400000, 1.035580, 0.717580, 4.103999, 1.044019, 0.719120, 3.986001, 0.938500, 0.598500, 2.700000, 1.097340, 0.725160, 3.447997, 1.018660, 0.693940, 3.582000, 1.133000, 0.766000, 4.100000, 1.026860, 0.708580, 3.642002, 1.086120, 0.719820, 3.668001, 1.090000, 0.755500, 3.450000, 1.074120, 0.735520, 4.016000, 1.004179, 0.713380, 4.013999, 0.528000, 0.402500, 1.850000, 1.074440, 0.728200, 3.794000, 1.025560, 0.707000, 3.695999, 1.056500, 0.724500, 4.500000, 1.064000, 0.724140, 3.795999, 1.017000, 0.710160, 3.824000
1.729500, 1.143500, 4.250000, 1.015700, 0.707500, 3.988000, 1.069120, 0.718500, 3.980001, 1.768000, 1.130000, 5.650000, 1.034300, 0.719860, 4.074000, 1.077300, 0.729040, 4.076003, 0.874000, 0.687000, 4.350000, 0.992320, 0.708500, 4.240000, 1.052801, 0.723800, 3.968000, 1.685500, 1.130000, 6.050000, 1.033119, 0.731900, 4.302001, 1.041880, 0.733500, 4.128001, 1.446500, 0.989000, 7.550000, 1.024840, 0.711760, 4.042000, 1.061280, 0.716340, 4.046002, 0.904500, 0.570500, 2.700000, 1.097340, 0.725160, 3.447997, 1.018660, 0.693940, 3.582000, 1.127000, 0.763000, 4.150000, 1.026860, 0.708580, 3.642002, 1.086120, 0.719820, 3.668001, 1.072000, 0.753000, 3.450000, 1.074120, 0.735520, 4.016000, 1.004179, 0.713380, 4.013999, 0.520000, 0.403500, 1.900000, 1.074440, 0.728200, 3.794000, 1.025560, 0.707000, 3.695999, 1.053500, 0.727500, 4.600000, 1.064000, 0.724140, 3.795999, 1.017000, 0.710160, 3.824000
1.666500, 1.126000, 5.750000, 1.087961, 0.727280, 3.740000, 1.019940, 0.711520, 3.619999, 1.526000, 1.014000, 4.450000, 1.028920, 0.686080, 3.527999, 0.929020, 0.656040, 3.555999, 0.361000, 0.247500, 1.200000, 0.998641, 0.688880, 3.756001, 1.082761, 0.720920, 3.874000, 0.917500, 0.625500, 5.850000, 1.015840, 0.697480, 3.757999, 1.075260, 0.715720, 4.152000, 1.401000, 0.845500, 3.550000, 0.922421, 0.569800, 3.234000, 0.835540, 0.553900, 3.135999, 0.753500, 0.564000, 2.550000, 1.077399, 0.718460, 4.198001, 0.975640, 0.695580, 3.802000, 2.010000, 1.404000, 7.650000, 1.037580, 0.714020, 4.237998, 0.989119, 0.696920, 4.062000, 1.221500, 0.834500, 5.300000, 1.004460, 0.702460, 4.309999, 1.034440, 0.716240, 4.349999, 1.342000, 0.912500, 4.550000, 0.966360, 0.692400, 3.838000, 1.062040, 0.718700, 4.038002, 1.410500, 0.914000, 4.650000, 1.100900, 0.728100, 3.454000, 1.011800, 0.709900, 3.796000
